Dato	Millis	Temp	Presion	AejeX	AejeY	AejeZ	GejeX	GejeY	GejeZ	MejeX	MejeY	MejeZ	Altura	AltMediaMovil	Pendiente
2332	119258	22,1	77003	-0,11	-0,16	0,93	9,02	-0,3	12,73	-0,05	-0,06	-0,03	2372,5	2373	2373
2333	119304	22,1	76992	-0,15	-0,17	0,84	9,02	-0,31	12,72	-0,05	-0,06	-0,03	2373,73	2373	2373
2334	119356	22,1	76997	-0,12	-0,19	0,84	9,03	-0,31	12,73	-0,05	-0,06	-0,03	2373,17	2373	2373
2335	119402	22,1	77003	-0,14	-0,21	0,86	9,03	-0,31	12,73	-0,04	-0,06	-0,03	2372,5	2373	2373
2336	119460	22,1	77000	-0,14	-0,22	0,95	9,04	-0,31	12,74	-0,05	-0,06	-0,03	2372,83	2373	2373
2337	119506	22,2	77003	-0,12	-0,25	0,97	9,04	-0,31	12,75	-0,04	-0,06	-0,03	2373,3	2373	2373
2338	119553	22,2	76997	-0,1	-0,22	0,92	9,04	-0,31	12,75	-0,05	-0,06	-0,03	2373,97	2373	2373
2339	119605	22,2	77000	-0,15	-0,16	0,9	9,04	-0,31	12,76	-0,04	-0,06	-0,03	2373,64	2373	2373
2340	119656	22,1	77006	-0,13	-0,12	0,92	9,05	-0,36	12,76	-0,05	-0,06	-0,03	2372,16	2373	2373
2341	119702	22,1	77000	-0,13	-0,19	0,85	9,05	-0,31	12,76	-0,04	-0,06	-0,03	2372,83	2373	2373
2342	119749	22,2	77003	-0,05	-0,16	0,88	9,06	-0,31	12,77	-0,05	-0,06	-0,03	2373,3	2373	2373
2343	119801	22,2	76992	-0,15	-0,19	0,88	9,06	-0,31	12,78	-0,05	-0,06	-0,03	2374,54	2373	2373
2344	119854	22,2	77008	-0,15	-0,16	0,89	9,06	-0,31	12,79	-0,05	-0,06	-0,03	2372,74	2373	2373
2345	119900	22,2	76997	-0,12	-0,15	0,88	9,07	-0,31	12,79	-0,05	-0,06	-0,03	2373,97	2373	2373
2346	119947	22,2	77003	-0,12	-0,16	0,94	9,08	-0,31	12,8	-0,04	-0,06	-0,03	2373,3	2373	2373
2347	119993	22,2	77003	-0,08	-0,2	0,99	9,08	-0,31	12,82	-0,05	-0,06	-0,03	2373,3	2373	2373
2348	120039	22,2	76992	-0,12	-0,13	0,96	9,09	-0,32	12,83	-0,05	-0,06	-0,03	2374,54	2373	2373
2349	120091	22,2	77005	-0,19	-0,2	0,91	9,09	-0,31	12,83	-0,05	-0,05	-0,03	2373,07	2374	2374
2350	120137	22,2	76997	-0,19	-0,16	0,93	9,09	-0,31	12,83	-0,04	-0,06	-0,03	2373,97	2374	2374
2351	120183	22,1	76997	-0,09	-0,17	0,91	9,1	-0,28	12,83	-0,05	-0,06	-0,03	2373,17	2374	2374
2352	120229	22,2	76997	-0,12	-0,21	0,94	9,1	-0,28	12,84	-0,05	-0,06	-0,03	2373,97	2374	2374
2353	120275	22,1	77000	-0,1	-0,2	0,86	9,1	-0,28	12,84	-0,05	-0,06	-0,03	2372,83	2374	2374
2354	120334	22,2	76997	-0,15	-0,08	0,95	9,11	-0,28	12,85	-0,04	-0,06	-0,03	2373,97	2374	2374
2355	120380	22,2	77002	-0,11	-0,15	0,96	9,11	-0,28	12,85	-0,04	-0,06	-0,03	2373,41	2374	2374
2356	120426	22,1	76992	-0,11	-0,14	0,91	9,11	-0,29	12,86	-0,05	-0,06	-0,03	2373,73	2374	2374
2357	120472	22,2	77003	-0,15	-0,2	0,88	9,12	-0,28	12,87	-0,05	-0,06	-0,03	2373,3	2374	2374
2358	120518	22,2	76997	-0,16	-0,14	0,89	9,12	-0,29	12,87	-0,04	-0,06	-0,03	2373,97	2374	2374
2359	120570	22,2	77000	-0,16	-0,13	1,02	9,12	-0,28	12,88	-0,04	-0,06	-0,03	2373,64	2374	2374
2360	120616	22,2	77005	-0,12	-0,16	0,91	9,13	-0,29	12,88	-0,05	-0,06	-0,03	2373,07	2374	2374
2361	120663	22,2	77005	-0,09	-0,22	0,99	9,13	-0,29	12,89	-0,05	-0,06	-0,03	2373,07	2373	2373
2362	120710	22,2	77000	-0,16	-0,19	0,91	9,14	-0,29	12,89	-0,05	-0,06	-0,03	2373,64	2374	2374
2363	120756	22,2	76992	-0,02	-0,23	0,88	9,14	-0,34	12,89	-0,04	-0,06	-0,03	2374,54	2373	2373
2364	120819	22,2	76997	-0,12	-0,19	0,93	9,14	-0,34	12,9	-0,05	-0,06	-0,03	2373,97	2374	2374
2365	120865	22,2	77000	-0,11	-0,23	0,91	9,15	-0,34	12,91	-0,04	-0,06	-0,03	2373,64	2374	2374
2366	120912	22,2	77003	-0,12	-0,17	0,94	9,15	-0,34	12,86	-0,05	-0,06	-0,03	2373,3	2374	2374
2367	120958	22,2	76997	-0,12	-0,18	0,91	9,15	-0,34	12,87	-0,04	-0,06	-0,03	2373,97	2374	2374
2368	121005	22,1	77003	-0,18	-0,16	0,92	9,16	-0,34	12,87	-0,05	-0,06	-0,03	2372,5	2374	2374
2369	121057	22,2	77005	-0,19	-0,15	0,9	9,16	-0,34	12,88	-0,04	-0,06	-0,03	2373,07	2374	2374
2370	121103	22,2	77000	-0,07	-0,23	0,99	9,17	-0,34	12,88	-0,05	-0,06	-0,03	2373,64	2374	2374
2371	121149	22,2	77008	-0,1	-0,19	1,05	9,17	-0,34	12,89	-0,04	-0,06	-0,03	2372,74	2374	2374
2372	121195	22,1	76995	-0,09	-0,27	0,88	9,18	-0,34	12,89	-0,05	-0,06	-0,03	2373,39	2373	2373
2373	121242	22,2	77005	-0,13	-0,25	0,99	9,18	-0,34	12,9	-0,04	-0,06	-0,03	2373,07	2373	2373
2374	121294	22,2	77005	-0,17	-0,17	0,95	9,18	-0,34	12,91	-0,05	-0,06	-0,02	2373,07	2373	2373
2375	121340	22,2	77003	-0,12	-0,18	0,93	9,19	-0,34	12,91	-0,05	-0,06	-0,03	2373,3	2373	2373
2376	121392	22,2	76994	-0,1	-0,16	0,96	9,19	-0,34	12,92	-0,05	-0,06	-0,03	2374,31	2373	2373
2377	121438	22,2	76997	-0,16	-0,23	0,86	9,2	-0,3	12,92	-0,05	-0,06	-0,02	2373,97	2373	2373
2378	121484	22,2	76989	-0,09	-0,2	0,91	9,2	-0,3	12,93	-0,05	-0,06	-0,03	2374,87	2373	2373
2379	121546	22,2	76994	-0,16	-0,11	0,93	9,2	-0,3	12,93	-0,05	-0,06	-0,03	2374,31	2374	2374
2380	121592	22,2	76997	-0,09	-0,22	0,91	9,21	-0,3	12,93	-0,04	-0,06	-0,03	2373,97	2374	2374
2381	121638	22,2	77000	-0,12	-0,23	0,97	9,21	-0,34	12,94	-0,05	-0,06	-0,03	2373,64	2374	2374
2382	121692	22,2	77003	-0,14	-0,14	0,96	9,21	-0,34	12,95	-0,04	-0,06	-0,03	2373,3	2374	2374
2383	121739	22,2	77005	-0,15	-0,16	0,98	9,21	-0,34	12,95	-0,05	-0,06	-0,03	2373,07	2374	2374
2384	121789	22,2	76995	-0,16	-0,2	0,82	9,22	-0,34	12,95	-0,04	-0,06	-0,03	2374,2	2374	2374
2385	121840	22,2	76997	-0,09	-0,2	0,99	9,22	-0,39	12,96	-0,05	-0,06	-0,03	2373,97	2374	2374
2386	121886	22,2	76992	-0,09	-0,23	0,92	9,22	-0,39	12,92	-0,05	-0,06	-0,03	2374,54	2374	2374
2387	121932	22,2	76994	-0,16	-0,16	0,85	9,23	-0,39	12,93	-0,05	-0,06	-0,03	2374,31	2374	2374
2388	121979	22,2	77003	-0,12	-0,22	0,91	9,23	-0,39	12,93	-0,05	-0,06	-0,03	2373,3	2374	2374
2389	122031	22,2	77005	-0,17	-0,18	0,87	9,24	-0,39	12,94	-0,04	-0,06	-0,03	2373,07	2374	2374
2390	122077	22,2	76994	-0,16	-0,16	0,91	9,24	-0,39	12,95	-0,05	-0,05	-0,03	2374,31	2374	2374
